"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"L4",4,0,20,FALSE,20,"ON","F1",173,2,3,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",4,0,20,FALSE,20,"ON","F1",173,2,3,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",7,0,20,FALSE,20,"ON","F1",174,5,6,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",7,0,20,FALSE,20,"ON","F1",174,5,6,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.41533554841907,4.65816498125832,6.35043130842722,1
"L6",8,0,20,FALSE,20,"ON","F1",175,6,7,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",12,0,20,FALSE,20,"ON","F1",175,10,11,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",11,0,20,FALSE,20,"ON","F1",175,9,10,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",8,0,20,FALSE,20,"ON","F1",175,6,7,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",8,0,20,FALSE,20,"ON","F1",175,6,7,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.46794951942518,9.03343022531291,12.6150340571248,1
"L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",6,0,25,FALSE,25,"ON","F1",176,5,6,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",5,0,25,FALSE,25,"ON","F1",176,4,5,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",5,0,25,FALSE,25,"ON","F1",176,4,5,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,2.95814383512309,4.20527277315243,5.97707223233896,1
"L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",3,0,25,FALSE,25,"ON","F1",177,1,2,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",3,0,25,FALSE,25,"ON","F1",177,1,2,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.01967523750157,2.77921567241887,3.82231260798582,1
"L4",4,0,25,FALSE,25,"ON","F1",178,2,3,1,1,2.11484664030332,2.85866970858577,3.8609719125097,1
"L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,2.11484664030332,2.85866970858577,3.8609719125097,1
"L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,2.11484664030332,2.85866970858577,3.8609719125097,1
"L4",4,0,25,FALSE,25,"ON","F1",178,2,3,1,1,2.11484664030332,2.85866970858577,3.8609719125097,1
