"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"198","L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,0.437021758584415,Inf,Inf,1
"199","L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,0.437021758584415,Inf,Inf,1
"200","L3",3,0,25,FALSE,25,"ON","F1",177,1,2,1,1,0.437021758584415,Inf,Inf,1
"201","L3",3,0,25,FALSE,25,"ON","F1",177,1,2,1,1,0.437021758584415,Inf,Inf,1
"202","L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,0.437021758584415,Inf,Inf,1
"203","L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,0.437021758584415,Inf,Inf,1
"204","L4",4,0,25,FALSE,25,"ON","F1",178,2,3,1,1,0.422867066277893,Inf,Inf,1
"205","L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,0.422867066277893,Inf,Inf,1
"206","L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,0.422867066277893,Inf,Inf,1
"207","L4",4,0,25,FALSE,25,"ON","F1",178,2,3,1,1,0.422867066277893,Inf,Inf,1
"208","L4",4,0,25,FALSE,25,"ON","F1",178,2,3,1,1,0.422867066277893,Inf,Inf,1
"209","L4",4,0,25,FALSE,25,"ON","F1",178,2,3,1,1,0.422867066277893,Inf,Inf,1
"210","L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,0.422867066277893,Inf,Inf,1
"211","L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,0.422867066277893,Inf,Inf,1
"212","L4",3,0,25,FALSE,25,"ON","F1",178,1,2,1,1,0.422867066277893,Inf,Inf,1
"213","L5",4,0,25,FALSE,25,"ON","F1",179,2,3,1,1,0.435508002820945,9.896971336906,Inf,1
"214","L5",5,0,25,FALSE,25,"ON","F1",179,3,4,1,1,0.435508002820945,9.896971336906,Inf,1
"215","L5",4,0,25,FALSE,25,"ON","F1",179,2,3,1,1,0.435508002820945,9.896971336906,Inf,1
"216","L5",4,0,25,FALSE,25,"ON","F1",179,2,3,1,1,0.435508002820945,9.896971336906,Inf,1
"217","L5",5,0,25,FALSE,25,"ON","F1",179,3,4,1,1,0.435508002820945,9.896971336906,Inf,1
"218","L5",3,0,25,FALSE,25,"ON","F1",179,1,2,1,1,0.435508002820945,9.896971336906,Inf,1
"219","L5",3,0,25,FALSE,25,"ON","F1",179,1,2,1,1,0.435508002820945,9.896971336906,Inf,1
"220","L5",4,0,25,FALSE,25,"ON","F1",179,2,3,1,1,0.435508002820945,9.896971336906,Inf,1
"221","L5",5,0,25,FALSE,25,"ON","F1",179,3,4,1,1,0.435508002820945,9.896971336906,Inf,1
"222","L6",8,0,25,FALSE,25,"ON","F1",180,6,7,1,1,0.787085290778242,Inf,Inf,1
"223","L6",6,0,25,FALSE,25,"ON","F1",180,4,5,1,1,0.787085290778242,Inf,Inf,1
"224","L6",8,0,25,FALSE,25,"ON","F1",180,6,7,1,1,0.787085290778242,Inf,Inf,1
"225","L6",8,0,25,FALSE,25,"ON","F1",180,6,7,1,1,0.787085290778242,Inf,Inf,1
"226","L6",7,0,25,FALSE,25,"ON","F1",180,5,6,1,1,0.787085290778242,Inf,Inf,1
"227","L6",5,0,25,FALSE,25,"ON","F1",180,3,4,1,1,0.787085290778242,Inf,Inf,1
"228","L6",6,0,25,FALSE,25,"ON","F1",180,4,5,1,1,0.787085290778242,Inf,Inf,1
"229","L6",6,0,25,FALSE,25,"ON","F1",180,4,5,1,1,0.787085290778242,Inf,Inf,1
"230","L6",5,0,25,FALSE,25,"ON","F1",180,3,4,1,1,0.787085290778242,Inf,Inf,1
"231","L2",3.952083,0.9979167,20,TRUE,30,"ON","F1",181,2.952083,3.952083,1,1,0,48.6494761431852,Inf,1
"232","L2",5.859722,0.9979167,20,TRUE,30,"ON","F1",181,4.859722,5.859722,1,1,0,48.6494761431852,Inf,1
"233","L2",5.859722,0.9979167,20,TRUE,30,"ON","F1",181,4.859722,5.859722,1,1,0,48.6494761431852,Inf,1
"234","L2",4.524306,0.9979167,20,TRUE,30,"ON","F1",181,3.524306,4.524306,1,1,0,48.6494761431852,Inf,1
